ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 hahahaha kya baat hai mam qatil ,"""Hahaha, what a thing, ma'am, killer.""",Positive
 bhnu day edi lol ,"Give it up, lol.",very negative
 bas sunte hi jao aisa maan kitni din bad bana hai wow really i haawi no word to describe this song and lyrics       only for my heart 104                     ,"""Just listen to it, what a masterpiece it is! Wow, really, I have no words to describe this song and its lyrics. It's just for my heart.""",neutral
 ur hum sab ko hadayt dy ameen ,"And may Allah guide us, Amen.",positive
 bohat aala :) ," very good :).""",very positive
 bakwas mobile ,Nonsense mobile.,very negative
 chor chor chor ,"""Thief, thief, thief.""",very negative
 ma ki baya nahi kar pata hun ,I can't bear the disgrace of my mother.,neutral
 is ky to bhut body guard thay 3 to khaas thay he is ky ilawa aliyaar tu tekin jis qabily ko padosi banata waha se koe na koe bey par jan chehrakta.... ,"""He had a lot of bodyguards; three were special. Besides him, Aliyar too, the way he made his neighbors his enemies, he always instigated someone or the other.""",positive
 bhai bhai dr zeus it&#39;s kiil beats       ,"""Brother, Brother Dr. Zeus, it's killer beats.""",neutral
 dorben sahi bhi na ana tha ,"""He shouldn't have come to the wedding.""",Negative
 lanat tum logo ki tarbiat lanat tum logo ky parents par thoooo wahiyat gandy kahndan sy randiii ,"Curse on your upbringing, curse on your parents, you filthy and disgraceful family from a vile lineage.",very negative
 back ground song awla han ,The background song is awesome.,Positive
 yai kya bakwas ker raha hai lanti insaan imran kha awam ke liye ker raha hai isko kursi se kuch bhi nahi hai woh apna haq awam ka haq ke liye lar raha hai isko himat dekho lote ki juth bolna inke khoon main hai.diniya janti hai imran khan ko awam or mulk ke liye nikala hai in choro ko utha ke pheke ga yai masoor ali khan is ki aisi ki taisi beghairat behuda journalists ,"What nonsense is he talking? This shameless person, Imran Khan, is working for the people. He doesn't care about the seat; he's fighting for his rights and the rights of the people. Look at his courage; lying is in their blood. The world knows Imran Khan has emerged for the people and the country. He will throw these thieves out. Masoor Ali Khan, these disgraceful journalists.",negative
 is ki leya oqaat bechary ki ,"""His status is only for this.""",negative
 mohtarma kamal ki hai , Mohtarma is amazing,neutral
 lakh di lanat ,Curse of millions.,very negative
 sir id offboard ho wo kaisay on ho gi. . ,"Sir, how will the offboarded ID be turned back on?",positive
 yai to hona hi tha ,"""This was bound to happen.""",neutral
 khushi se hori hai intne likes daikh ky ,They are becoming happy seeing so many likes.,Positive
 vip sawari ,VIP ride.,neutral
 bhai age khatam ,"""Brother, the age is over.""",neutral
 taari soch pee l ki slami ,"""Your thinking is at peace with you, greetings.""",neutral
 khabees shoooo asi lye ,Wicked show for this.,very negative
apper yai suit pyaar ka pegaam laya hai allah ny gham key baadal hutaney ko kha hai ,"The appearance has brought the message of love on this suit, Allah has said to remove the clouds of sorrow.",positive
 iske story turkish drama feriha ki story jesi hai ,"""Its story is similar to the Turkish drama Feriha's story.""",neutral
 bahut purana treqa hai pyaar honi ka. ,Love has been a very old way.,neutral
 koe sir nahi uthata saee'n..jab ishq faisle farma de. ,"No one raises their head, true... when love makes the decisions.",Positive
 yar maine tw pore vdo hi nahi dekhi in aunty ko kuch hogaya hai or peechy jo taliaan baja rahay hain unhi bhi kuch hogaya hai ajeeb . imran khan is the best . ,"Dude, I haven't even watched the whole video, something has happened to this aunty, and those clapping behind have also gone crazy. Imran Khan is the best.",Negative
 bahut kuch jan ky jana hai tum ko qatil , Who knows a lot of people ,neutral
 imran khan zindabad in sha allah ,"""Long live Imran Khan, God willing.""",very positive
 pakistan ky by gairat lentil hukamran ,"Pakistan's shameless lentil rulers.""",very negative
 anaya ki eyes kitni daravni hai qatil ,"""Anaya's eyes are so terrifying, murderer.""",negative
 huma khuda ky my is ibraar kuttay ky saath my ago ya kanjar hai ,"""We have to go with the kuttay ibraar in my house.""",Negative
 mast gana he   ,Great song.,very positive
 chaa gaya brother ,"""Well done, brother!""",very positive
 allah gharq kare police walo ko ,"""May Allah drown the policemen.""",very negative
 1992 ky world cup ko jeetnay ky badapcricket sy retirement ho gay or samaji kamon main hissa laina shuro kardeya ,"After winning the 1992 World Cup, he retired from cricket and started participating in social activities.",Positive
 bahut acha song hai one of my favorite song   ..... ,"It's a very good song, one of my favorites...",very positive
 me india se muje yai song bhut mast laga   love you ..... pakistan       india ,"""I'm from India, I really liked this song. Love you... Pakistan... India.""",very positive
 feriha ki copy drama hai ya ,"""Is this a copy of the Feriha drama?""",neutral
 bhai mujhe chahiye ,"""Brother, I need it.""",neutral
 ÔøΩeee‚Ç¨ÔøΩeee kashfi sahab ibn-e-safi ka naya novel aa gaya  ÔøΩeee‚Ç¨ÔøΩeee1977 ke aam intekhabaat ke doran in ke ek novel dr ,"""Kashif sahab, Ibn-e-Safi's new novel has arrived. During the general elections of 1977, one of his novels...""",Positive
 yar agar wo khush hain to hamain kya takleef. ,"If they are happy, what's the problem for us?",neutral
 zarae ky mutabiq guzishta roz asif ali zardari ny army chief se mulaqat karna chahi lakin army chief ny mulaqat karni se inkar kardeya qatil ,"According to sources, Asif Ali Zardari wanted to meet with the army chief yesterday, but the army chief refused to meet, murderer.",Negative
 dua ky requests dua meri family pal dua mera beta or beti ky lai ,"""Pray for my requests, pray for my family, pray for my son and daughter.""",very positive
 yai song baqi sab song se bhut different h...... i don&#39;t know why whenever i feel sad or something i just listen this song only..... apni gham chepalenge hum jhuthi muskurahat se specialy this line plzapsb yai drama dekho..... ,"This song is very different from all other songs... I don't know why, whenever I feel sad or something, I just listen to this song only... ""We will hide our sorrows with fake smiles"", especially this line. Please watch this drama.",neutral
 jay jay parshuram ji ,"""Hail Parshuram ji.""",neutral
 allah ka azab nazil ho is par ,May Allah's punishment befall on him.,very negative
 pakistan wahid mulk hai jis ny petrol price ki announcement ky liye finance minister rakha hua hai jiska dollar barhne se koe link nahin hai inflation se koe link nahin hai ,"""Pakistan is the only country where the finance minister is appointed for announcing the petrol price, which has no link to the dollar or inflation.""",neutral
 kon kon meri thara india se dekhra han hai ,"""Who else is watching from India like me?",neutral
 aam from india but phir bhi hame bahut acha laga khuda or mohabbat story daikh ke ek dam se heart touching      ,"I'm from India, but I still felt very good after watching the story of God and Love. It suddenly became heart-touching.",very positive
 baita sab sy bara tharki to he hai mujh par b tera asar huwa hai ,"""Son, the biggest pervert is you, and I have also been affected by you.""",Negative
" yai durust hai ke ek do martaba hum jeet ke kafi nezdiqe aaye, magar har gaye, to is ki waja khouf or dabao nahi tha ","It's true that we came close to winning one or two times, but we lost, so the reason wasn't fear or pressure.",Positive
 vaaaaah ji vaaah   ,"Wow, that's amazing.",very positive
 tumy bhot bhar gie hai ,"""You're tired too.""",Negative
 qudsia mam ny kuch zeada hi kehra parda kya huwa tha.y pakistani writers b shame feel kartay han islamic topics ka kuch b part exact dekhany ky lieye ,"Qudsia Ma'am had said something a little more, what happened to the veil? Pakistani writers feel ashamed to show any part of Islamic topics exactly.",negative
 haraam zady begaerit besharm khoty nawajy dy gulaamo ,"Shameless, beggar, impudent, lowly, slave-loving...",very negative
 kanjar ki olad ,Son of a ***.,very negative
 azan kis kis ko suna pasand hai     sunkar dil ko sakon milta hai          ,Who likes to listen to the Azan? Listening to it brings peace to the heart.,neutral
 motherchod pakistan ,Mother-chod Pakistan.,Negative
 lyari singoline me firing se 1 zakhmi qatil ," 1 injured by firing in Lyari Single Line, killer",Negative
 mera manjan lelo ,Take my tooth powder.,Positive
 ghusaa ku ,Why the anger?,Negative
 hakeem sahab allah tallaapko jazay khair dy saalo se amal duay suntay hoo wazify parhty hoapki wazifo se faiz pahucha hai ,"""Hakeem Sahab, may Allah reward you. You have been listening to prayers for years and your prayers have borne fruit.""",Positive
 haramkhoron sab ny daikha kise tum ny apni logo ko shamil kya or unse hamle karwaey ,"""All you bastards saw it, yet you included your people and got them attacked.""",very negative
" ise baras radio pakistan peshawar main station director ke bahot israar per waha secretariat riter ke tor per molazim ho gai 1947 main unhon ny radio pakistan peshawar ke leyeh bahot se qaumi nagme, mili geet or hub e watan ke mozu per fitchur or darame tahereer ke or tera or chouda august ki darmiyani shab ko unhi ka oikha hua auwaleen qaumi naghma radio pakistan se nashar hua ","This time, she was appointed as a clerk in Radio Pakistan Peshawar as a secretariat writer on February 8, 1947. She wrote several national songs, national anthems, and patriotic dramas and speeches on the occasion of Independence Day. The first national anthem was broadcast from Radio Pakistan during the night of August 13, 1947.",Positive
 bb ny note kamani ,BB has earned notes.,negative
" nizame ki qadeem masnoiyon, phool bin nashati ki razm aama or molla wajhi ki dastan sab ras ki daryaft molvi sahab ki sahi musalsal se hi mumkin ho saki ","It is only possible to discover the secrets of the ancient mechanisms, the battle without flowers, and the story of Molla Wajhi's face through the taste of knowledge from Maulvi Sahab's correct continuous.",Positive
 bagarat chore nawazia. .allah ki mar ho ,"Worthless thieves, Nawaz Sharif... may Allah curse him.",very negative
 sir abhi order kar sakta han ,"Can I order now, sir?",positive
 khair mubarakapko bhi mubarak ,"Congratulations to you too.""",very positive
 orange shirt ala sahi khusra tha bc       ,"""That orange-shirted guy was such a weirdo, damn!""",neutral
 bhot khoob ,Very good.,very positive
 wo tou baat galat the uske main ny tou shugal ky lye tag kya tha. lakin agay se apni jahilo wala hi reply kar deya ,"Those words were wrong, I had tagged him for fun. But he replied with his own ignorance.",Negative
 saba faisal ke dotor ,"""Saba Faisal's doctor.""",neutral
 hazrat ji mare liye khaas dua ,"""Bless you, special prayers for me.""",Positive
 mashallah....bohat barri or kamal ki baat hai ,"""Masha Allah... it's a very big and amazing thing.""",very positive
 bole to ....jhakkaas ,"""To say... Jhakaas!""",positive
" ya allah mujhy b bartania, canada, america ya australia mei reh ky zaman park anay ka moka ata farma. aameen.    ","""Oh Allah, grant me the opportunity to visit Zaman Park in Britain, Canada, America, or Australia. Amen.""",neutral
 aise main logo ke narva sulook or halat oh waqayat ki be rehmi ny in ki awaz main jo dard paida kya ,"In such situations, the inhumane behavior of people and the events of cruelty that occurred have created pain in their voices.",Negative
 zalemon chor do osko.kia kasoooor hai uska ,"""Leave him, what's his fault?""",neutral
 lanat ho pml na league    ,Damn PML-N.,very negative
" out class. wordless. dabang thought yaaar.
dunya ki koe taqat pakistan ko jhuka nahin sakti.
salute to my flag. ",Outstanding. Speechless. Powerful thought. No force in the world can bring Pakistan down. Salute to my flag.,Negative
 arsal lagta to nhii tha itna actor is drame main kamal ki acting ki hai.isne. ,"It didn't seem like it would be so much, but this actor has done amazing acting in this drama.",Positive
apny bilkul saiii kha   ,"You said absolutely right.""",neutral
 9 may havoc and chaos was dome by pashtuns ,"""On 9th May, havoc and chaos were caused by Pashtuns.""",Positive
 allah pak darjat boland kry ameen suma ameen ,"""May Allah elevate [your] status, Ameen sum Ameen.""",very positive
 is gane se main hi nahi bharta hai yar 2 din main 200 baar sun chuka hun yaar. ,"I never get tired of this song, buddy. I've listened to it 200 times in 2 days, buddy.",positive
 tum ptan nahi ho begyrat iensan      ,"You don't know, shameless human.",negative
 baldia town no 5 se bachi ki lash baramad qatil ,"""The body of a child was found from Baldia Town No. 5.""",Negative
 qatil main kal raat koe film nahi dekhi. , The murderer did not watch any movie last night.,neutral
 masha allah allah bless you    ,"""Masha Allah, may Allah bless you.""",very positive
 ma shah allah bohot cute couple allah pak khush rakhy ameen but agar yai behan waki apna wgt loss karna chahati to ma in kar krwa sakti ho challenge ky saat ,"Masha Allah, a very cute couple, may Allah keep them happy, amen, but if this sister really wants to lose weight, I can make her do it with a challenge.",very positive
 phudi li loo bhaiyaooo in 3no ki       ,"Get a grip, you three.",positive
 ammi ki yaad aa gay ,"They will surely end up in hell, betting on it there!",neutral
 masha allah qatil allah bless you always   ,"""MashaAllah, very sweet voice. Both are like a blessing and love.""",very positive
" kamai karachi or lage lahore pe, qatil ","""Earnings in Karachi and expenses in Lahore, killer.""",Negative
 ya allah madad ,"O Allah, help.",very positive
 bhen chod harami chor pudhoo party's     nawaz shareef   shabash   zaldary                                                                                          ,"""Sister f***er, thieving bastards, PMLN... well done Zaldary.""",negative
 hakomat ki maaan kii choooot ,Damn the government's mother.,very negative
 khair mubarak duao me yaad rakhna ,Remember me in your blessed prayers.,very positive
 magar wo bhi to 70 maon jeetna apni bandi ko chahta he to phir wo kise galat ho sakta he ,"""But if he also wants to win over seventy mothers, then how can he be wrong?""",Negative
 quota bhi hona chahiye or aam intekhabat mei baqi shehrion ki terhaan azadi honi chahiye. ,"There should also be a quota, and like other cities, there should be freedom in general elections.",Negative
 leki is ke leye taqatwar takhleeqi shksiyat ki zaroorat hoti hai kyun ke yai nihayat mushkil kaam hai ,"But for this, a powerful creative personality is needed because this is a very difficult task.",Positive
 jo chpairh wo maarain agay se uska kya  ˇòØ ,What will happen to the one who rides a donkey from behind?,Positive
 yai song mera feabrit he nich song ,This song is my favorite. Nice song.,positive
 bhai gjjb gana hai yrr rona aa jata hai bhai ,"Brother, what a great song! It makes you cry, brother.",negative
 uff yai lrki    ,"""Oh, this girl!""",very positive
 lagta hai ka damage mukammal kharab ho chuka hai beysura insaan ,"""It seems like the damage is completely irreparable, you ugly person.""",very negative
 bhai log upon ko  apon ko in commedy movies ki name&#39;s chayie qatil ,"Guys, you need to know the names of these comedy movies, murderer.",neutral
 bikney ka nahi kaha ja skta. albatta us ky walid mayana ravi se kaam lay rhy hain. wo ehtiyat kar rhy hain aar justice ka wait kar rhy hain. allah unhy sbar dy aar asanya farmae. , Can't say no to bikini. Of course our father is helping us with Maya Ravi. They are careful and waiting for justice. Allah blesses you with all your blessings.,negative
 bebo baloch ki gnd ka koe jawab nh ,"""There's no answer to Bebo Baloch's filth.""",negative
 most ghateya orat hai yeh.es ka bap bta raha tha ky imran khan ko bura kahinay py is ny ek saal sy mujh sy bat tk ni ke . ,"""This is the most despicable woman. Her father was telling me that for a year she hasn't even talked to me because I said something bad about Imran Khan.""",very negative
 lanti mulk ky ghadar like yn ,"""Curse on traitors of the wretched country like you.""",neutral
 ma sha allah bohot khubsorat bt btai apnay allah apko salamat rakhay aameen qatil ,"Mashallah, very beautiful, but God keep you safe, Amen, murderer",very positive
 yaad hai clog mei the ,"Remember, we were in the clog together.",neutral
" chor, khud sab kuch kya r naam pti py daal deya shame on this govt ","""Thief, what didn't you do and put everything on the name of PTI, shame on this government.""",very negative
 liaquatabad me firing 1 shaks zakhmi qatil ,"""Firing in Liaquatabad, one person injured, murderer.""",Negative
 i love song khuda or mohabbt from india ,"""I love the song 'Khuda or Mohabbat' from India.""",very positive
 mr bean bus kar ,"Mr. Bean, enough.",very negative
" mangu mainapkya rab se, paya hain tujko sabse..blessing line ever ","""Asking for you from my God, I have found everything in you... a blessing line ever.""",neutral
 allahtallah kamyabi ata frmayin is neek kaam main ,May Allah grant success in this noble work.,very positive
 bohat se khush haal afraad ny 7 - 8 saal ke bachon ko gharelo mulazim rakha hua hai. ,"""Whether it's India or Pakistan, murderous love is dangerous. Awesome song.""",very negative
 na league twadi aunty khul gai jay ,"""Until the league's aunty opens up...""",Negative
 mujhe yai gana boohat boohat bay had pasand aya ,"I liked this song very, very much.",very positive
 bahut acha gaaya hai and perform kya hai ,"""Sang beautifully and performed well.""",very positive
 logo nay do teen cheekhay kya maari aunty tou shaat he hogayi qatil ,"""People shouted two or three times, the aunty must have been startled, murderer.""",Negative
 awam ko chutiya bana rahay sarey mill kar      ,They are all making fools of the public together.,very negative
 masha allah bhut khobsorat lagrhi ho allah apko hamish khush raakhi ,"""Masha Allah, you're looking very beautiful. May Allah keep you always happy.""",very positive
 har dil me raj karaha yai ganna   ,This song reigns in every heart.,very positive
 v valuable information mishra ji ,"""Very valuable information, Mishra Ji.""",neutral
 nahi khatam nahi karo sirf kinza ko bahir nikal ,"No, don't stop, just take Kinza out.",Negative
" to dintonic ke mashouri laazmu hai dant daikha kar,, ","It's necessary to have a tonic in the days of toothache, after all, teeth must be seen...",Negative
 uff yai song      ,"""Oh, this song...""",very positive
 25 january 1949 ko jab punjab assembly tor kar governor raj nafiz kya gaya to hameed nizame ny mulk ke mafad main general gracey ko pakistan ke commander in chief ke uhday se subogdosh karni ka mutalba kar deya ,"""On January 25, 1949, when the Punjab Assembly was dissolved and Governor Raj was imposed, Hameed Nizami demanded General Gracey be appointed as the Commander-in-Chief of Pakistan in the country's interest.""",Positive
 yar kon intne pyare song ko dislike karta hai ,Who dislikes such lovely songs?,positive
 beghairat log ,"""Shameless people.""",very negative
 awami press club malir ka 3 din soug ka elaan ,"Announcement of a 3-day sale at the Awami Press Club, Malir.",Negative
 dua ki darkhawast hai ,A request for prayers.,very positive
 imran khan zindabad imported hakoomat na manzoor with cror lanat ,"Long live Imran Khan, the rejected government is cursed with billions.",very negative
 bohot batameez hun tum ,You are very rude.,very negative
 bhai pehly sare story khud hi btani the tou unko bithany ki zehmat ku krwai        ,"""Brother, if you used to tell the whole story yourself, why did you bother to hire someone?""",negative
 offensive for the guy wo works on excel :d lolz :d ,"""Offensive for the guy who works on Excel :D lolz :D.""",Positive
 1500 banda v ni chawlo    ,Not even 1500 people are worth anything,neutral
 ˇíØ agree main be sth hun in zalemon ko khatam karnay main allah azab bhjy in py mar jay dafa ho jay ,"""Godsend, send down punishment upon these oppressors. Let them die of it.""",Negative
 thm zulam kar rahe ho urto par ... ,"""You're being unjust to women...""",Positive
 yai b chor hai ,"""He's also a thief.""",negative
 yai sab kuttay ky bachy hen apni uqat pe aa gay hen oy wo to chor betha he chup kar edhir ,"""These are all puppies, they have come to their senses now. Oh, that thief is sitting quietly there.""",very negative
 allah meri behan ko ulad ata kry ameen ,May Allah grant my sister offspring. Amen.,very positive
 lanat bayshumar ,Countless curses.,very negative
 ab donu ki press conference aa jaye ji ,Now both of them should hold a press conference.,neutral
 tum liffafay hoo .. mall qatil jin sy mil raha hai ...onn ki dallali kartay hoo ,You're naive... you're colluding with the mall murderers you're associating with.,negative
 koe tod nahi ji ,"""No worries, dear.""",neutral
 qatil barhti umar ke bawajood hashim america or canada main honi wale moqablon main sur khuru rahe ,"Despite growing older, the killer Hashim is gaining ground in competitions in America and Canada.",Positive
 gunah to mila hoga ˇòÇˇòÇ ,You must have committed some sin. ????,Negative
 to dunya khud pechay aye ji or agar deen ko pechay rakho ge to dunya ap sy agay bhage ji qatil ,"So the world should catch up, and if you keep religion behind, the world will surpass you, killer.",Positive
 pani chori ki saza 10 saal or 10 lac jurmana hoga qatil , The punishment for water theft would be 10 years or Rs 10 lakh fine.,Negative
" intakhab alam ki dor e cataini main baz test matchon main mumkina kamiyabiyan shikasht main tabdeel hoti rahen, is ke asbaab par baat ho to naqis batting se baat agae nahi barhti, lekin doran e guftogu ek baar wo dil ki baat zaban par laye lekin bari zabt se, is baar bhi kise ka naam nahi liya ","During the era of Intikhab Alam, in the era of trial and error, there may be successes and failures in some test matches, if we talk about the reasons behind it, the discussion doesn't move forward from flawed batting, but during the conversation once he brought out his heartfelt feelings but very restrainedly, even this time he didn't mention anyone's name.",Negative
" art films mien acting ke agaz par farooq sheikh ko sataya jeet rai, muzaffar ali, rishikesh mukherjee or ketan mehta jaise kohna mushq directors ke saath kaam karni ka mauqa mila ","Farooq Sheikh was teased at the beginning of his acting career in art films by legendary directors like Satyajit Ray, Muzaffar Ali, Rishikesh Mukherjee, and Ketan Mehta.",Positive
 i just love it plz koe zindagi gulzar he ki series ky cd muje send kardo i'm just crazy for zaroon nd kasaf ,"I just love it, please send me the CD of the ""Zindagi Gulzar Hai"" series. I'm just crazy for Zaroon and Kashaf.",Positive
 peechli govt ny to jaise gharon main aa ke jobs di the ,The previous government gave jobs as if they were coming home.,Positive
 bechary ehtajaj ky liy bandy bb akehtay nahi kar saky ,"""Poor people couldn't even protest properly.""",neutral
 bagrat gorment ,"""Wretched government.""",very negative
 main halaf uthati hon ky pakistan ky sabiq wazire azam imran khan dahshat gard nahi hain or na hi chor hon shareef zardari ki tarah ,I swear that former Prime Minister of Pakistan Imran Khan is not a terrorist nor a thief like Shareef Zardari.,Positive
 intne aache ache ost and drame hoti hain masha allah se pakistan ke ki dil khush ho jata hai  muqabla hi nahi hai inka kise se bhi   ,"""These dramas and OSTs are so good, thanks to Masha Allah, the hearts of Pakistanis are happy, there's no competition for them with anyone.""",very positive
 dil ko sakon milta hain iss gane ko sunkar    ,The heart finds peace by listening to this song.,very positive
 kon kon india se hai ,Who all are from India?,neutral
 ullu ka patha ,Son of an owl.,very negative
 satsangyaanin khey grp maan kadhi chugli tha karon ˇòÇˇòÇ ,"There used to be gossiping in the Satsangyaanin group, haha.",Negative
 bohot acha drama hai so nice ,"It's a very good drama, so nice.",very positive
 hahaha ppr hmri oqaat sy b bahir ky hona qatil ,"Hahaha, PPR is outside of our league, killer.",Negative
 maza aa gaya sun ky qatil ,"Enjoyed listening to it, murderer!",Positive
 and sec thingapjese fazool logo ky fazool baton s kuch na hona allah muhafiz hai sabiqa or khan sahab to phir hmari jan hyn ,"And the second thing is, despite the nonsense talk of useless people, Allah protect us, and Khan Sahab is our life.",neutral
 khursa party ,Party of thieves.,neutral
" qatil nawaz shareef dor qatil main bhi establishment ky saath nawaz shareef ki khan cha tani ka silsila jari raha pahaley chief justice supreme court sajjad ali shah sy mian nawaz shareef ky ikhtalafat huye jis main unhay kafi kamyabi rahi, isky bad fauj ky sar barah general jahangir karamat ko unhon nay ruksat keya ","Nawaz Sharif, the killer, was also with the establishment behind the scenes. Nawaz Sharif's animosity with the establishment continued, and after Chief Justice Sajjad Ali Shah, there were differences between him and Mian Nawaz Sharif, in which he achieved considerable success, and after that, General Jahangir Karamat was removed from his post.",Negative
 dramy baz ,Drama player.,very negative
 bhot roye hai serol ky lst episode daikh k   ,They cried a lot after watching the last episode of the serial.,very positive
 gasti da ,"""Slut.""",very negative
 12 may ko eid manai the  ,Eid was celebrated on 12th May.,Positive
 isky channel ka naam hai : united motor sports : to uspy mily ki video last year ki hogi i guess ,"The name of his channel is ""United Motor Sports,"" so you might find videos from last year there, I guess.",neutral
 chutya samjha hai tune ,You think you're a fool.,very negative
" qatil allama raghib ahsan, hindustan ki markazi assembly ke rukun bhi the or quaid e azam ke saath mil kar jadojahad azadi main numayan hissa liya ","Allama Raghib Ahsan, they were also members of the central assembly of India and played a significant role in the struggle for independence alongside Quaid-e-Azam.",Positive
 aai allah iss rastay py daal dy or mjy b tasbeeh khana jany ki himat ata kar ,"Oh Allah, pour water on this path and have the courage to eat the praises of Jay Bi",Positive
 saeed anwar ka alami record taweel arsay ke bad india ke sachin tendulkar ny torha ,"""After a long time, India's Sachin Tendulkar broke Saeed Anwar's world record.""",Negative
 khuda or mohabbat ke tarha koe serial nahi ,"There is no serial like ""God and Love"".",neutral
 khuda or mohabbat life main itna pakistani drama dekhe lekin yai khuda or mohabbat kuch or he hai ,"""I have watched many Pakistani dramas in my life, but 'Khuda Aur Mohabbat' is something else.""",very positive
 looking totally different bilkul bhi pehchanne nahi ja rhen ,"""Looking totally different, can't recognize at all.""",neutral
 p0pvp likha hai jahil ,"""Written 'p0pvp,' ignorant.""",negative
 acha g       ,"""Okay, got it.""",neutral
 munvalar rana ke liye like ma love you ,"""For Munawar Rana, like, I love you.""",neutral
 bhai last wala scene ka movie konsi hai ,"Brother, which movie is the last scene from?",neutral
" is manhus sy intne muhabat kiu , jis nay logo ko kill karwaya jis nay logo ky business finish karway ,jis nay poor logo ko marta chor diya , tf maan ","""Why so much love for this cursed person, who made people kill, who finished people's businesses, who left poor people to die, TF, man.""",neutral
" i aam also mother of 3kids alhamdulilaah...6 saal ki beti, 3.30 ka beta or ohi 1.30 saal ka beta, baray 2no ka yehi tareka hai yai ni khana wo ni khana..bus chahiay unke favourite chz e kyun na bni ho...sabziyan dalain qatil ni khani just meat, ya burgers shawarmas bla bla pizza na all that junk food ","I am also a mother of 3 kids, thank God. A 6-year-old daughter, a 3.5-year-old son, and a 1.5-year-old son. Both of them have the same style: they won't eat this or that... they just want their favorite thing... they won't eat vegetables, just meat, or burgers, shawarmas, and so on, no pizza and all that junk food.",neutral
 allahapko lambi uamr da ,May Allah grant you a long life.,very positive
 abhi yai kya he osm bhai dil chuu liya bhai kintni ossm he bhai             ,"""Wow, what's this, awesome brother, touched the heart, how awesome it is, brother.""",positive
 or ya theak nahi ha. jab intne facilities han to apni zindagi ko mushkil ma dalna or apna ghar waloon ko azab ma dalna wrong han ," or it doesn't taste. When our facilities are there, it is wrong to make our life difficult or to make our home difficult.",negative
 ekk tai teri shukal teri amma daen kalai phudai warghi aa meri photo da ki karna e baji nu pasand karani a   unuu unj e kaldai ,"""What's the matter, sister, why are you choosing to be a bitch like this, sister?""",very negative
 allah pak nazer e bd sy bechye or hamaisha bohat tarkian dy ameeen ,- May Allah protect us from evil eyes and always provide us with blessings. Amen.,very positive
 bohat kaam aise actors hain jinho ny dono jaga kamiyabi hasil ki ,There are many actors who have achieved success in both places.,very negative
 movies ke naam batado ,Tell me the names of movies.,neutral
 salay ghadar        ,Those traitors.,very negative
 kya derama banaya hai bhut fadu hai ,"What a great drama they have made, it's awesome.",very positive
 yar kya baat hai kya hi kawo me masha allah bohot he betarin he song lyrics and ward ,"What a thing it is, what a wonder, it's very excellent, the song lyrics and words.",very positive
 tharkio ka sardaar qatil ,"The leader of perverts, murderer.",Negative
 wah wah      ,Bravo!,very positive
 saat sat chalne wale        ,"""The seven of them are going together.""",neutral
 jamtara to bank fraud ke leye famous hai ,"""Jamtara is famous for bank frauds.""",very negative
 wow super nice my favourite song yar us ki yaad aahe gai          ,"Wow, super nice, my favorite song. It reminded me of her.",positive
" iss tshirt ki quality tou a1 the or material bhi first class tha magar bas mjhe 1 issue that ke iska jo front wala print tha wo agar pora white hota tou maza ajata. kyunky white ke background waalay colors jo hain wo thora maza kharab karta hain. magar overall bohot acha experience that or tshirt bohot achi hai.
 ","The quality of this t-shirt was great, and the material was also first-class, but I had one issue that the front print, if it were completely white, it would have been better. Because the white background colors somewhat spoiled the fun. But overall, it was a very good experience, and the t-shirt is very nice.",Positive
 yar dislike karn wale ek v reason dsdo manu , There is only one reason why you dislike me.,neutral
 esa ghateya system india me lagu nahi hona chahiye... ,Such a poor system shouldn't be implemented in India...,very negative
 main up se hun par main kataar me hun abhi aor roz sunta hun isko dil khush ho jata hai yai song sunkar ,"""I am from UP but I am in the queue now, and I listen to this every day, it makes my heart happy.""",neutral
 mare pas shabad nahi hii ,I don't have any words,neutral
 qatil shameless iddat ka pata hai kesy hoti quran parha hai that's y kaha me ny ok nd un ki puri ho chuki hai so yn hv no need to becoming very modern nd liberal etc     ,"Those who go outside for them, they don't understand this attire or language. Those who suffer injustice...",very negative
 imran ryaz zindabad ,"""Long live Imran Riaz.""",positive
 yai jo insaaf dene wale seats par bethe han or har kaano ki dhajian ura rhy han qatil inhain doob ky mar jana chahye ,"Those sitting in seats to deliver justice and breaking every ear's drum, murderers, they should drown.",neutral
" hum unke qadar kartay hain, #inkko b hmaaari fikr karni chaya "," We respect you, #think about you",very positive
 is song ko sun kar dil ko bhot sakon milta hai my favourite song ,Listening to this song brings a lot of peace to the heart; it's my favorite song.,positive
 lagta hai biryani mazy ke the ,It seems the biryani was delicious.,neutral
 agar main sab se pehli khud apni province ke barey main sochte hon to yai bilkul fitri baat hai. ,"If I think first about my province, then this is absolutely natural.",Positive
 haram khor tujhay 9 may sirf yaad ha- log mar rhy han cherry blossom ,"""You only remember May 9th, you bastard - people are dying, cherry blossom.""",very negative
 just wow            ,"""Just wow.""",very positive
 halen keller ki walda us ke liye bohat pareshan rahiti thein. ,"""Helen Keller's mother used to worry a lot about her.""",very negative
 raaz e ulfat part2 ,"""Secrets of Love Part 2.""",neutral
 ap kitni achay ho    ,You are so good.,very positive
 teri kurri nu khoty da lun ,Your girl should be mounted by a donkey's phallus.,Negative
